model,dataset,image_id,precision,sensitivity,f1,iou,mcc,tvs,cldice,sf1
DCP_1024,AFIO,IM001127,0.8272068824812945,0.5007616459791394,0.623860386988,0.4533409118443565,,0.0,0.704284943234,0.63066589951
DCP_1024,AFIO,IM001154,0.8730387275597538,0.5361679269457402,0.664338850803,0.4973857712357665,,0.196202531646,0.704284943234,0.63066589951
DCP_1024,AFIO,IM001155,0.8943438099797242,0.5152567558226104,0.653825915369,0.4856919493798013,,0.27027027027,0.704284943234,0.63066589951
DCP_1024,AFIO,IM001192,0.893164375755397,0.42538161433252675,0.576294959568,0.40478536157540945,,0.383838383838,0.704284943234,0.63066589951
DCP_1024,AFIO,IM001193,0.8946537074972962,0.4194667749684657,0.571146269166,0.39972339844235183,,0.0601983002833,0.704284943234,0.63066589951
DCP_1024,AFIO,IM001218,0.9237917175141953,0.4903287913806892,0.640626698343,0.47126620595101576,,0.300578034682,0.704284943234,0.63066589951
DCP_1024,AFIO,IM001219,0.9175832058133886,0.5035294426369215,0.650237207726,0.481741837490215,,0.358490566038,0.704284943234,0.63066589951
DCP_1024,AFIO,IM001246,0.8271134608384014,0.5424031271249536,0.655163919282,0.48717009357171015,,0.52,0.704284943234,0.63066589951
DCP_1024,AFIO,IM001686,0.8251251765284346,0.6060254596897161,0.698803957812,0.5370474049682323,,0.8,0.704284943234,0.63066589951
DCP_1024,AFIO,IM001749,0.8900784220534228,0.512012740682203,0.650073981507,0.48156267276981224,,0.35,0.704284943234,0.63066589951
DCP_1024,AFIO,IM001750,0.8755178377523929,0.47147498375529856,0.6128982304,0.4418552725058826,,0.3,0.704284943234,0.63066589951
DCP_1024,AFIO,IM001791,0.9176589220063792,0.5076491624900333,0.65368152791,0.485532614653379,,0.676923076923,0.704284943234,0.63066589951
DCP_1024,AFIO,IM001792,0.8855094268001102,0.5040193794264559,0.642396055083,0.4731836980057349,,0.139393939394,0.704284943234,0.63066589951
DCP_1024,AFIO,IM001814,0.8671717439744928,0.5534507578966108,0.675671205119,0.51019898361397,,0.368499257058,0.704284943234,0.63066589951
DCP_1024,AFIO,IM001858,0.9040770175104097,0.5395887642872184,0.675820964727,0.510369781369986,,0.165622825331,0.704284943234,0.63066589951
DCP_1024,AFIO,IM001859,0.8710479189805643,0.5571981592307496,0.679639600573,0.5147379464485188,,0.325301204819,0.704284943234,0.63066589951
DCP_1024,AFIO,IM002094,0.7659602359612997,0.44797975925821243,0.565323959106,0.39404293582105515,,0.5,0.704284943234,0.63066589951
DCP_1024,AFIO,IM002348,0.8858273709828651,0.5346781940446217,0.666850719368,0.5002070878753121,,0.5,0.704284943234,0.63066589951
DCP_1024,AFIO,IM002350,0.8885547603325978,0.5780803693696827,0.700455148872,0.5390003648308156,,0.102272727273,0.704284943234,0.63066589951
DCP_1024,AFIO,IM002421,0.883303637995641,0.5135321774899481,0.649474813827,0.4809053696121173,,0.511111111111,0.704284943234,0.63066589951
DCP_1024,AFIO,IM002422,0.8910917748409755,0.5239873001059117,0.659921811455,0.49245022946871103,,0.65306122449,0.704284943234,0.63066589951
