Model,Dataset,N,mean_Sensitivity,sd_Sensitivity,min_Sensitivity,max_Sensitivity,mean_Precision,sd_Precision,min_Precision,max_Precision,mean_F1,sd_F1,min_F1,max_F1,mean_IoU,sd_IoU,min_IoU,max_IoU,mean_MCC,sd_MCC,min_MCC,max_MCC
FRUnet,LES,22,0.8328526400300521,0.02975910480856989,0.7555944256937088,0.8793519118600129,0.7429931761822217,0.04539205977029969,0.577845974315962,0.7973794104891799,0.7842035403663697,0.02852865921491759,0.6856501883928691,0.8238657079307139,0.6458793905637388,0.03697970348498672,0.521664919291528,0.7004860869086706,0.7701897548299872,0.027184590703011036,0.6784330404780264,0.8053947816364182
FRUnet,STARE,20,0.7650148311707697,0.09189749604212753,0.483068539683663,0.8628499130159735,0.762780680409632,0.045453900269168304,0.6868502227807609,0.8708298781654653,0.7583555499276353,0.04608264298481121,0.6214210933588238,0.8122399020807833,0.6128716115137741,0.05675826737376804,0.450769332364789,0.6838417147568013,0.7419189864522174,0.040806215325455586,0.6317340658065461,0.7933654992633131
FSG-Net-HRF,AFIO,99,0.5590451382456785,0.04974417731383747,0.4207104221268053,0.7319122185392616,0.8589351817886819,0.04682804107205451,0.6606210446687208,0.9246175866333018,0.6752537167766366,0.03737131948541086,0.5459229082699585,0.7431542420778376,0.5108930271567774,0.04150576283728325,0.375442891834866,0.5912851576206394,0.6721474906081426,0.03353910350135477,0.5534565988444381,0.7276453575814411
FSG-Net-HRF,CHASEDB1,28,0.8438994947408283,0.05006682643672749,0.6979953739398612,0.9222011385199241,0.7505141929268475,0.04968577871245868,0.6479819072329444,0.8280868682991034,0.7927292653605933,0.034442177077376776,0.7105991905298074,0.8457639391745112,0.6579529813078748,0.04642189357508947,0.5511080691982724,0.7327478042659975,0.7789529242133123,0.03622136091502579,0.6932567088373925,0.8351865016486104
FSG-Net-HRF,DualModal2019,30,0.9449154526616945,0.022866123229751782,0.8710822861775436,0.9768283110944271,0.5936287928826433,0.047453931786254615,0.4913609528920898,0.6781973862100045,0.727955964021704,0.03731987383771819,0.649503115184594,0.7862120848004848,0.5736080559613747,0.0455372595567197,0.480936403843221,0.6477343158184699,0.72832416599085,0.03242518377249942,0.662575611267554,0.7773069677803616
FSG-Net-HRF,HRF,45,0.8038898312941786,0.04316481178579324,0.6824583774463565,0.8764209847969854,0.7909416737281766,0.07271791520287314,0.6362905066179827,0.9237022765429356,0.7947712890107438,0.03924068275723915,0.7102838061312653,0.8635973749730089,0.6612074477927685,0.05444235876700639,0.5507287645979244,0.7599396164299579,0.7794466019377778,0.0404594783265988,0.6959743602636237,0.8483782243506449
FSG-Net-HRF,LES,22,0.8735162772426118,0.027377948421387042,0.7895017778982205,0.9130201399922704,0.801411099830894,0.046556698240561196,0.6385428763523012,0.868896693740885,0.835159121264078,0.031859550959523725,0.7310770005913165,0.8644545767423742,0.7181942869295809,0.04468987137834745,0.5761397665043484,0.7612681615698362,0.8244012549166203,0.031663580105249375,0.7226060458260458,0.8532064336578639
FSG-Net-HRF,STARE,20,0.779224627680127,0.09065531458895291,0.5283325370281892,0.9061017648272002,0.867402014116003,0.036928879738236206,0.7772245950112462,0.921625404179335,0.8166750287837082,0.04902538469197816,0.6547198484280329,0.8732809132031938,0.6928695461867559,0.06569083884394265,0.48667918549380906,0.7750653409856385,0.8065367915832289,0.04574398693073131,0.6554972269198028,0.8626106197368013
GAVE,AFIO,99,0.5332674810782384,0.06039861766572975,0.3822561757653488,0.7092696308149503,0.8257689652642866,0.05726606782028056,0.6201864287862083,0.906772352047312,0.6448186162749113,0.04539901210976974,0.5014667261647854,0.7246581536748246,0.47743459641103847,0.04832635292541182,0.33463836600796687,0.5682069915316319,0.6402691270347785,0.04014984100359343,0.5077375564198637,0.7066197602172495
GAVE,CHASEDB1,28,0.7646096740721088,0.061211987792522786,0.6370998538338973,0.8761303027816526,0.751430871048641,0.06600873242928834,0.6224246079613993,0.851285771866183,0.7536169294217449,0.0304523783570294,0.7053918088015351,0.8225676369235282,0.6056091642790901,0.03955299935751743,0.5448689523187155,0.6986113705710194,0.7377583907820436,0.03047760310615254,0.6865214694312854,0.8091634581476049
