Model,ModelFolder,Dataset,Image,Threshold,threshold_source,TP,FP,FN,TN,Sensitivity,Precision,F1,IoU,MCC,GTPath,PredictionPath,ProbabilityPath
DCP_1024,DCP_1024,AFIO,IM001096,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,74370,11446,57802,1360382,0.5626759071512877,0.8666216090239582,0.6823311374938069,0.5178320266261889,0.6766114131948118,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM001096.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM001096.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\probability\AFIO\IM001096_prob.png
DCP_1024,DCP_1024,AFIO,IM001097,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,73898,10944,45377,1373781,0.6195598407042548,0.8710072841281441,0.7240749178167423,0.5674901512068131,0.7163796275743834,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM001097.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM001097.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\probability\AFIO\IM001097_prob.png
DCP_1024,DCP_1024,AFIO,IM001126,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,58440,14037,47793,1383730,0.5501115472593262,0.8063247650978931,0.6540204801074366,0.4859067099027189,0.6460961837607258,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM001126.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM001126.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\probability\AFIO\IM001126_prob.png
DCP_1024,DCP_1024,AFIO,IM001127,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,50329,11158,46829,1395684,0.5180118981452891,0.818530746336624,0.6344858016325758,0.46464972857195613,0.6332122129009529,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM001127.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM001127.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\probability\AFIO\IM001127_prob.png
DCP_1024,DCP_1024,AFIO,IM001154,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,67292,10573,53713,1372422,0.5561092516838148,0.8642137032042638,0.6767436013476141,0.5114228822447522,0.6733003247799465,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM001154.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM001154.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\probability\AFIO\IM001154_prob.png
DCP_1024,DCP_1024,AFIO,IM001155,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,61933,7934,53819,1380314,0.5350490704264289,0.8864413814819586,0.6673131522096337,0.5007276490467798,0.6703425229991623,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM001155.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM001155.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\probability\AFIO\IM001155_prob.png
DCP_1024,DCP_1024,AFIO,IM001192,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,70592,9144,87814,1336450,0.44563968536545334,0.8853215611518009,0.5928563630103048,0.4213190092509699,0.6012162358045904,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM001192.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM001192.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\probability\AFIO\IM001192_prob.png
DCP_1024,DCP_1024,AFIO,IM001193,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,73503,9385,93931,1327181,0.43899685846363345,0.8867749252002702,0.5872675993320604,0.4156962769838083,0.5954095468690388,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM001193.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM001193.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\probability\AFIO\IM001193_prob.png
DCP_1024,DCP_1024,AFIO,IM001218,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,85800,7734,82483,1327983,0.509855422116316,0.9173134902816088,0.6554196251580302,0.4874529164796582,0.6579578360160214,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM001218.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM001218.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\probability\AFIO\IM001218_prob.png
DCP_1024,DCP_1024,AFIO,IM001219,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,80139,7924,72293,1343644,0.5257360659179175,0.9100189636964446,0.6664504459552174,0.49975679113971416,0.6682451092361763,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM001219.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM001219.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\probability\AFIO\IM001219_prob.png
