"model","dataset","image_id","f1","f2","tvs","structural_utility"
"FSG-Net","AFIO","IM001127","0.671972330762","0.612190383152","0","0.695447984354"
"GAVE","AFIO","IM001127","0.643917534396","0.587242435139","0.3","0.630102461211"
"SA-UNetv2","AFIO","IM001127","0.675203860972","0.625435980278","0.2","0.695307667613"
"DCP-1024","AFIO","IM001154","0.664338850803","0.581005276412","0.196202531646","0.702316638381"
"FR-UNet","AFIO","IM001154","0.670847744517","0.604173569158","0.221518987342","0.691630667996"
"FSG-Net","AFIO","IM001154","0.697086955469","0.631861281826","0.158227848101","0.723551914147"
"GAVE","AFIO","IM001154","0.661322645291","0.623095738746","0.411392405063","0.665325314627"
"SA-UNetv2","AFIO","IM001154","0.725637513318","0.678349320668","0.310126582278","0.763001586224"
"DCP-1024","AFIO","IM001155","0.653825915369","0.562983296079","0.27027027027","0.712937542912"
"FR-UNet","AFIO","IM001155","0.665137232869","0.592501353145","0.324324324324","0.697003593981"
"FSG-Net","AFIO","IM001155","0.71013649269","0.643838935191","0.297297297297","0.769436651808"
"GAVE","AFIO","IM001155","0.696405463344","0.645842051015","0.324324324324","0.721050523007"
"SA-UNetv2","AFIO","IM001155","0.720717882581","0.665032730206","0.351351351351","0.769713823182"
"DCP-1024","AFIO","IM001192","0.576294959568","0.475152559631","0.383838383838","0.632462580953"
"FR-UNet","AFIO","IM001192","0.629445317277","0.55429395504","0.434343434343","0.655232509276"
"FSG-Net","AFIO","IM001192","0.668593010381","0.589939694811","0.464646464646","0.72268995842"
"GAVE","AFIO","IM001192","0.641282337148","0.572149503873","0.444444444444","0.656771270214"
"SA-UNetv2","AFIO","IM001192","0.675286358255","0.608410489154","0.505050505051","0.726055076172"
"DCP-1024","AFIO","IM001193","0.571146269166","0.469321967981","0.0601983002833","0.608491765412"
"FR-UNet","AFIO","IM001193","0.6139430116","0.531878356438","0.0793201133144","0.621529891594"
"FSG-Net","AFIO","IM001193","0.648251053864","0.562295804477","0.0970254957507","0.68457652109"
"GAVE","AFIO","IM001193","0.624134287624","0.5426575515","0.0835694050992","0.643145735304"
"SA-UNetv2","AFIO","IM001193","0.662720016152","0.589404720984","0.0906515580737","0.686348702793"
"DCP-1024","AFIO","IM001218","0.640626698343","0.541108763425","0.300578034682","0.703953745731"
"FR-UNet","AFIO","IM001218","0.686407649393","0.613187431497","0.35838150289","0.707920265945"
"FSG-Net","AFIO","IM001218","0.724852747253","0.652951506797","0.433526011561","0.776829167391"
"GAVE","AFIO","IM001218","0.706317032576","0.643680446902","0.375722543353","0.720465217967"
"SA-UNetv2","AFIO","IM001218","0.724290044949","0.656269772012","0.369942196532","0.770675755597"
"DCP-1024","AFIO","IM001219","0.650237207726","0.553480362747","0.358490566038","0.707319594923"
"FR-UNet","AFIO","IM001219","0.685427397197","0.623137059539","0.452830188679","0.706483051999"
"FSG-Net","AFIO","IM001219","0.731404848304","0.666141204698","0.528301886792","0.785766647114"
"GAVE","AFIO","IM001219","0.718247361487","0.676285599001","0.509433962264","0.718547335587"
"SA-UNetv2","AFIO","IM001219","0.731792109759","0.677051120108","0.584905660377","0.781770873088"
"DCP-1024","AFIO","IM001246","0.655163919282","0.582505311266","0.52","0.686866627163"
"FR-UNet","AFIO","IM001246","0.665916427846","0.620389834936","0.5","0.677684439258"
"FSG-Net","AFIO","IM001246","0.696250209385","0.647161401105","0.56","0.73486114969"
"GAVE","AFIO","IM001246","0.672151618391","0.63087232887","0.62","0.689112101537"
"SA-UNetv2","AFIO","IM001246","0.700142326355","0.6584459943","0.6","0.733087867294"
"DCP-1024","AFIO","IM001686","0.698803957812","0.640014738394","0.8","0.748874446897"
"FR-UNet","AFIO","IM001686","0.693079939986","0.64776965391","0.8","0.722836839193"
"FSG-Net","AFIO","IM001686","0.72073406277","0.680593505937","0.8","0.773637489804"
"GAVE","AFIO","IM001686","0.664330005309","0.629130797272","0.8","0.689737710158"
"SA-UNetv2","AFIO","IM001686","0.725826447326","0.695267103939","0.8","0.777966258635"
"DCP-1024","AFIO","IM001749","0.650073981507","0.559546858847","0.35","0.694813356087"
"FR-UNet","AFIO","IM001749","0.670948923982","0.604865378284","0.36","0.681565992568"
"FSG-Net","AFIO","IM001749","0.707607136363","0.637800965654","0.4","0.750588445073"
"GAVE","AFIO","IM001749","0.673673681684","0.611084577317","0.48","0.669741378439"
"SA-UNetv2","AFIO","IM001749","0.71752625347","0.663408442858","0.4","0.75066353637"
"DCP-1024","AFIO","IM001750","0.6128982304","0.519416062574","0.3","0.634767199569"
"FR-UNet","AFIO","IM001750","0.625130206034","0.551445738474","0.5","0.62509243734"
"FSG-Net","AFIO","IM001750","0.686460528415","0.625351815367","0.58","0.707953847373"
"GAVE","AFIO","IM001750","0.61842482883","0.534431201372","0.34","0.61281963016"
"SA-UNetv2","AFIO","IM001750","0.679023727085","0.613874315387","0.52","0.699087221237"
"DCP-1024","AFIO","IM001791","0.65368152791","0.557464126878","0.676923076923","0.723929904329"
"FR-UNet","AFIO","IM001791","0.694535454653","0.624235265712","0.707692307692","0.723095882993"
"FSG-Net","AFIO","IM001791","0.724478477596","0.658894566174","0.784615384615","0.777910919835"
"GAVE","AFIO","IM001791","0.684735589921","0.618214215973","0.661538461538","0.707698902684"
"SA-UNetv2","AFIO","IM001791","0.735425300274","0.675081884768","0.769230769231","0.780645219992"
"DCP-1024","AFIO","IM001792","0.642396055083","0.551541787741","0.139393939394","0.663532702028"
"FR-UNet","AFIO","IM001792","0.662856265023","0.601066880808","0.193939393939","0.654288964236"
"FSG-Net","AFIO","IM001792","0.71832465374","0.659374994914","0.218181818182","0.748082785627"
"GAVE","AFIO","IM001792","0.697024310145","0.638198006151","0.193939393939","0.692548636774"
"SA-UNetv2","AFIO","IM001792","0.718716465111","0.664675868841","0.175757575758","0.749061981974"
"DCP-1024","AFIO","IM001814","0.675671205119","0.596619124821","0.368499257058","0.722907446567"
"FR-UNet","AFIO","IM001814","0.667416777366","0.60542104752","0.337295690936","0.689480332186"
"FSG-Net","AFIO","IM001814","0.728301143272","0.673726831888","0.500742942051","0.771241999134"
"GAVE","AFIO","IM001814","0.693549837858","0.647660056056","0.392273402675","0.702652264827"
"SA-UNetv2","AFIO","IM001814","0.727070995529","0.683715606427","0.546805349183","0.770406682479"
"DCP-1024","AFIO","IM001858","0.675820964727","0.5869127894","0.165622825331","0.721491546203"
"FR-UNet","AFIO","IM001858","0.681717538069","0.61721805436","0.198329853862","0.689913237219"
"FSG-Net","AFIO","IM001858","0.739227327333","0.686237114568","0.386221294363","0.792423489971"
"GAVE","AFIO","IM001858","0.684407171465","0.623872902619","0.216423103688","0.691916292214"
"SA-UNetv2","AFIO","IM001858","0.745511111873","0.698859765268","0.364648573417","0.788860780301"
"DCP-1024","AFIO","IM001859","0.679639600573","0.600469537529","0.325301204819","0.736465047428"
"FR-UNet","AFIO","IM001859","0.684524998431","0.62602162345","0.385542168675","0.703642712227"
"FSG-Net","AFIO","IM001859","0.728710866263","0.68649573421","0.578313253012","0.784523995827"
"GAVE","AFIO","IM001859","0.66234547355","0.596934962687","0.331325301205","0.682380455609"
"SA-UNetv2","AFIO","IM001859","0.731189997767","0.699069330601","0.481927710843","0.776066715933"
"DCP-1024","AFIO","IM002094","0.565323959106","0.4885424273","0.5","0.563152392087"
"FR-UNet","AFIO","IM002094","0.584026253184","0.522214713503","0.857142857143","0.581975125635"
"FSG-Net","AFIO","IM002094","0.62175758878","0.567407631787","0.642857142857","0.629972077167"
"GAVE","AFIO","IM002094","0.518340546678","0.442005231429","0.142857142857","0.511128280759"
"SA-UNetv2","AFIO","IM002094","0.643590734105","0.627604464351","0.857142857143","0.641244195821"
